"","diseaseId","targetId","datatypeId","datasourceId","score","evidenceCount"
"856292","MONDO_0015229","ENSG00000137868","animal_model","impc",0.3821183,3
"856293","MONDO_0015229","ENSG00000137869","animal_model","impc",0.2766085,1
"856294","MONDO_0015229","ENSG00000137936","animal_model","impc",0.3228113,1
"856295","MONDO_0015229","ENSG00000138031","animal_model","impc",0.3976931,2
"856296","MONDO_0015229","ENSG00000138039","animal_model","impc",0.4833726,8
"856297","MONDO_0015229","ENSG00000138193","animal_model","impc",0.2722314,1
"856298","MONDO_0015229","ENSG00000138207","animal_model","impc",0.2930226,1
"856299","MONDO_0015229","ENSG00000138379","animal_model","impc",0.3511408,2
"856301","MONDO_0015229","ENSG00000139719","animal_model","impc",0.2524737,1
"856302","MONDO_0015229","ENSG00000140090","animal_model","impc",0.2692526,1
"856303","MONDO_0015229","ENSG00000140398","animal_model","impc",0.4859799,1
"856305","MONDO_0015229","ENSG00000140479","animal_model","impc",0.2676111,1
"856306","MONDO_0015229","ENSG00000140632","animal_model","impc",0.2581274,1
"856307","MONDO_0015229","ENSG00000140675","animal_model","impc",0.2645107,1
"856308","MONDO_0015229","ENSG00000140945","animal_model","impc",0.261471,1
"856309","MONDO_0015229","ENSG00000141434","animal_model","impc",0.3285106,2
"856310","MONDO_0015229","ENSG00000141699","animal_model","impc",0.2603768,1
"856311","MONDO_0015229","ENSG00000142182","animal_model","impc",0.2631732,1
"856312","MONDO_0015229","ENSG00000142583","animal_model","impc",0.347858,1
"856313","MONDO_0015229","ENSG00000142784","animal_model","impc",0.3645153,1
